Rank,Country (or dependent territory),GDP2015,Date,"% of worldpopulation",Source
98,Bosnia and Herzegovina,16191716215,10/15/13,0.05%,Preliminary 2013 census result
99,Mozambique,14807075727,7/1/14,0.35%,Annual official projection
100,Zimbabwe,14419185900,8/17/12,0.18%,2012 Census Result
101,Botswana,14389717321,8/22/11,0.03%,Final 2011 census result
102,Jamaica,14262190323,12/31/13,0.04%,Annual official estimate
103,Gabon,14262032471,7/1/14,0.02%,UN projection
104,Georgia,13965385802,1/1/14,0.06%,Annual official estimate
105,Senegal,13609989582,11/19/13,0.19%,2013 census result
106,Mali,12746688962,7/1/14,0.22%,UN projection
107,Nicaragua,12692562187,2013,0.09%,Official estimate
108,Equatorial Guinea,12202323684,7/1/13,0.02%,Annual official estimate
109,Mongolia,11741338841,10/24/14,0.04%,Official population clock
110,Mauritius,11681761261,7/1/14,0.02%,Official estimate
111,Namibia,11491507356,8/28/11,0.03%,Final 2011 census result
112,Albania,11398392444,1/1/14,0.04%,Annual official estimate
113,Chad,10888798114,7/1/14,0.18%,UN projection
114,Burkina Faso,10678201939,7/1/13,0.24%,Official estimate
115,Armenia,10529182498,6/30/14,0.04%,Monthly official estimate
116,Malta,9746478873,11/20/11,0.01%,Preliminary 2011 census result
117,Madagascar,9738652322,7/1/12,0.30%,Annual official estimate
118,South Sudan,9015221096,7/1/14,0.16%,Official annual projection
119,Haiti,8765329890,2014,0.15%,Official projection
120,Benin,8290986804,7/1/14,0.14%,Official annual projection
121,Rwanda,8095980014,7/1/14,0.15%,Official annual projection
122,Tajikistan,7853450374,1/1/14,0.11%,Official estimate
123,Niger,7142951342,12/10/12,0.24%,Preliminary 2012 census result
124,Guinea,6699203543,4/2/14,0.15%,Preliminary 2014 census result
125,Malawi,6403820949,7/1/14,0.22%,Official annual projection
126,Kosovo,6400687590,2014,0.03%,Official annual projection
127,Somalia,5925000000,7/1/14,0.15%,UN projection
128,Suriname,5150291217,8/13/12,0.01%,Preliminary 2012 census result
129,Fiji,4425503075,7/1/13,0.01%,Annual official estimate
130,Barbados,4385250000,7/1/13,0.00%,Official estimate
131,Sierra Leone,4214779785,7/1/14,0.09%,UN projection
132,Swaziland,4118488059,7/1/14,0.02%,Official projection
133,Togo,4087903913,7/1/14,0.10%,UN projection
134,Montenegro,3987061628,4/1/11,0.01%,Final 2011 census result
135,Maldives,3435244659,7/1/14,0.00%,Official estimate
136,Guyana,3166029056,7/1/10,0.01%,Annual official estimate
137,Burundi,3097324740,7/1/14,0.13%,Official annual projection
138,Lesotho,2278037786,7/1/14,0.03%,UN projection
139,Bhutan,2057947621,10/24/14,0.01%,Official population clock
140,Liberia,2053000000,7/1/14,0.06%,UN projection
141,Belize,1752861128,7/1/13,0.00%,Official estimate
142,Djibouti,1727000000,7/1/14,0.01%,UN projection
143,Central African Republic,1583776760,7/1/14,0.07%,UN projection
144,Timor-Leste,1441718600,7/1/14,0.02%,Official estimate
145,Seychelles,1437722206,7/1/13,0.00%,Annual official estimate
146,Antigua and Barbuda,1259259259,5/27/11,0.00%,Preliminary 2011 census result
147,Solomon Islands,1129164719,7/1/13,0.01%,Annual official estimate
148,Guinea-Bissau,1056776883,7/1/14,0.02%,UN projection
149,Grenada,984074074.1,5/12/11,0.00%,2011 census result
150,Samoa,761037916.4,11/7/11,0.00%,Final 2011 census result
151,Vanuatu,742432131,7/1/13,0.00%,Annual official estimate
152,Comoros,565689764.5,7/1/14,0.01%,Official estimate
153,Dominica,517218963,5/14/11,0.00%,Preliminary 2011 census result
154,Tonga,435142409,11/30/11,0.00%,2011 census result
155,Palau,287400000,7/1/13,0.00%,Annual official estimate
156,Marshall Islands,179432573.8,7/1/13,0.00%,Annual official estimate
157,Kiribati,160121929.2,7/1/13,0.00%,Annual official estimate
158,Nauru,100457157.6,10/30/11,0.00%,2011 census result
159,Tuvalu,32673277.74,7/1/13,0.00%,Annual official estimate
